BGGId,Name,YearPublished,GameWeight,BayesAvgRating,MinPlayers,MaxPlayers,MfgPlaytime,MfgAgeRec,Kickstarted,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
265715,METAL,2019,1,5.51584,0,0,0,0,0,0,0,0,0,0,0,0,0
265736,Tiny Towns,2019,2.0766,7.07874,1,6,60,14,0,0,0,0,1,0,0,0,0
265752,Exceed: Street Fighter – Ryu Box,2019,2.5,5.65694,2,2,25,10,0,0,0,0,0,0,0,0,0
265754,Exceed: Street Fighter – M. Bison Box,2019,2,5.63779,2,2,25,10,0,0,0,0,0,0,0,0,0
265755,Exceed: Street Fighter – Chun-Li Box,2019,3,5.63144,2,2,25,10,0,0,0,0,0,0,0,0,0
265771,Dance Card!,2021,2,5.54951,1,4,60,10,1,0,0,0,0,0,0,0,0
265784,Cleopatra and the Society of Architects: Deluxe Edition,2020,2.2,5.84192,2,4,60,10,1,0,0,0,0,0,0,0,0
265785,Rune,2019,1.7059,5.62858,2,2,15,7,1,0,0,0,0,0,1,0,0
265832,WTF?,2017,1.3333,5.48238,3,0,0,18,0,0,0,0,0,0,0,0,0
265912,Selfish: Space Edition,2018,1,5.56887,2,5,20,7,0,0,0,0,0,0,0,0,0
265917,Winterborne,2019,3,5.64703,1,4,90,12,1,0,0,0,0,0,0,0,0
265947,"Jours de Gloire: Battle of Issy, 1815",2018,3,5.56618,1,2,0,14,0,0,0,1,0,0,0,0,0
266031,Meme: The Game – Disney Edition,2018,0,5.48673,3,6,15,8,0,0,0,0,0,0,0,0,0
266071,Obama Llama 2,2018,1,5.5206,4,20,30,14,0,0,0,0,0,0,0,0,0
266078,Hochspannung,2019,0,5.50067,2,6,20,10,0,0,0,0,0,0,0,0,0
266079,Galactiquest,2019,1.8,5.49539,2,4,0,7,0,0,0,0,0,0,0,0,0
266083,L.L.A.M.A.,2019,1.058,6.21817,2,6,20,8,0,0,0,0,1,0,0,0,0
266092,MonsterSlap,2018,1,5.4924,2,4,20,5,0,0,0,0,0,0,0,0,0
266102,2491 Planetship,2020,2.75,5.55018,2,5,90,14,0,0,0,0,0,0,0,0,0
266121,Unlock!: Heroic Adventures,2018,2.2667,6.79245,1,6,60,10,0,1,0,0,0,0,0,0,0
266129,Timeline: Science Museum,2018,1,5.54907,2,8,15,8,0,0,0,0,0,0,0,0,0
266140,Unforgiven: The Lincoln Assassination Trial,2021,2.5556,5.75803,2,2,30,13,1,0,0,0,0,0,0,0,0
266141,Castello Methoni,2019,2.4,5.59578,3,5,50,8,0,0,0,0,0,0,0,0,0
266164,Babylonia,2019,2.4151,6.5213,2,4,60,14,0,0,1,0,0,0,0,0,0
266177,Tsuro: Phoenix Rising,2019,2.75,5.66361,2,8,50,8,1,0,0,0,0,0,0,0,0
266179,Space Gate Odyssey,2019,2.8333,5.94409,2,4,90,12,0,0,1,0,0,0,0,0,0
266188,Seven Bridges,2020,2.5,5.71748,1,6,90,10,0,0,0,0,0,0,0,0,0
